feature_set,model,feature,importance
C,GradientBoosting,sensor_measurement_2,0.0
C,GradientBoosting,sensor_measurement_17,0.0
C,GradientBoosting,sensor_measurement_3,7.394701091123929e-06
C,GradientBoosting,sensor_measurement_8,7.374261372939589e-05
C,GradientBoosting,sensor_measurement_13,9.607249738539278e-06
C,GradientBoosting,sensor_measurement_9,0.00018517116889165813
C,GradientBoosting,sensor_measurement_14,0.0010973857952381435
C,GradientBoosting,sensor_measurement_11_rmean,0.15805029924289554
C,GradientBoosting,sensor_measurement_11_rstd,0.0
C,GradientBoosting,sensor_measurement_11_delta,0.043384263714215526
C,GradientBoosting,sensor_measurement_4_rmean,0.2826106087983557
C,GradientBoosting,sensor_measurement_4_rstd,0.0
C,GradientBoosting,sensor_measurement_4_delta,0.01249597499285957
C,GradientBoosting,sensor_measurement_12_rmean,0.002537068517720967
C,GradientBoosting,sensor_measurement_12_rstd,1.7376816218169124e-05
C,GradientBoosting,sensor_measurement_12_delta,0.008605680746577306
C,GradientBoosting,sensor_measurement_7_rmean,0.003671233885451286
C,GradientBoosting,sensor_measurement_7_rstd,0.0
C,GradientBoosting,sensor_measurement_7_delta,0.006724358121625988
C,GradientBoosting,sensor_measurement_15_rmean,0.14740794840901408
C,GradientBoosting,sensor_measurement_15_rstd,2.9106158520068576e-06
C,GradientBoosting,sensor_measurement_15_delta,0.020168049145185732
C,GradientBoosting,sensor_measurement_21_rmean,0.01301004402683789
C,GradientBoosting,sensor_measurement_21_rstd,1.2140820902098826e-05
C,GradientBoosting,sensor_measurement_21_delta,0.003237186919459528
C,GradientBoosting,sensor_measurement_20_rmean,0.0008112713134137106
C,GradientBoosting,sensor_measurement_20_rstd,9.414503118948938e-06
C,GradientBoosting,sensor_measurement_20_delta,0.015052471807797192
C,GradientBoosting,sensor_measurement_2_rmean,0.030258091293884185
C,GradientBoosting,sensor_measurement_2_rstd,0.0
C,GradientBoosting,sensor_measurement_2_delta,0.000754870322277177
C,GradientBoosting,sensor_measurement_17_rmean,0.030421588379155883
C,GradientBoosting,sensor_measurement_17_rstd,0.0
C,GradientBoosting,sensor_measurement_17_delta,0.0031743748401374355
C,GradientBoosting,sensor_measurement_3_rmean,0.02156566409813466
C,GradientBoosting,sensor_measurement_3_rstd,0.0
C,GradientBoosting,sensor_measurement_3_delta,0.0003813966223613559
C,GradientBoosting,sensor_measurement_8_rmean,0.0004724088204065205
C,GradientBoosting,sensor_measurement_8_rstd,6.109302308228713e-06
C,GradientBoosting,sensor_measurement_8_delta,0.013012120633006063
C,GradientBoosting,sensor_measurement_13_rmean,0.002166104643607101
C,GradientBoosting,sensor_measurement_13_rstd,0.0
C,GradientBoosting,sensor_measurement_13_delta,0.008222234867906143
C,GradientBoosting,sensor_measurement_9_rmean,0.010802099451638248
C,GradientBoosting,sensor_measurement_9_rstd,2.4101831863235988e-05
C,GradientBoosting,sensor_measurement_9_delta,0.04878424992050597
C,GradientBoosting,sensor_measurement_14_rmean,0.007127282311275642
C,GradientBoosting,sensor_measurement_14_rstd,1.9001191626878638e-05
C,GradientBoosting,sensor_measurement_14_delta,0.007784411994870367
C,GradientBoosting,cycle_index,0.09516907032908949
C,XGBoost,sensor_measurement_11,0.0009440060239285231
C,XGBoost,sensor_measurement_4,0.0010538034839555621
C,XGBoost,sensor_measurement_12,0.0007717143162153661
C,XGBoost,sensor_measurement_7,0.0006769984611310065
C,XGBoost,sensor_measurement_15,0.0009221422369591892
C,XGBoost,sensor_measurement_21,0.0006506387144327164
C,XGBoost,sensor_measurement_20,0.0008463135454803705
C,XGBoost,sensor_measurement_2,0.0004930073628202081
C,XGBoost,sensor_measurement_17,0.0002677057054825127
C,XGBoost,sensor_measurement_3,0.0002634055563248694
C,XGBoost,sensor_measurement_8,0.0006377667305059731
C,XGBoost,sensor_measurement_13,0.0010543285170570016
C,XGBoost,sensor_measurement_9,0.001291865250095725
C,XGBoost,sensor_measurement_14,0.001863442943431437
C,XGBoost,sensor_measurement_11_rmean,0.21373915672302246
C,XGBoost,sensor_measurement_11_rstd,0.0004457747272681445
C,XGBoost,sensor_measurement_11_delta,0.026550941169261932
C,XGBoost,sensor_measurement_4_rmean,0.2758290469646454
C,XGBoost,sensor_measurement_4_rstd,0.0005570520297624171
C,XGBoost,sensor_measurement_4_delta,0.008940543048083782
C,XGBoost,sensor_measurement_12_rmean,0.0065549323335289955
C,XGBoost,sensor_measurement_12_rstd,0.0006485484191216528
C,XGBoost,sensor_measurement_12_delta,0.00517547270283103
C,XGBoost,sensor_measurement_7_rmean,0.003923884127289057
C,XGBoost,sensor_measurement_7_rstd,0.000536687730345875
C,XGBoost,sensor_measurement_7_delta,0.007000902201980352
C,XGBoost,sensor_measurement_15_rmean,0.17910049855709076
C,XGBoost,sensor_measurement_15_rstd,0.0005487020243890584
C,XGBoost,sensor_measurement_15_delta,0.008947823196649551
C,XGBoost,sensor_measurement_21_rmean,0.01938493549823761
C,XGBoost,sensor_measurement_21_rstd,0.00028836310957558453
C,XGBoost,sensor_measurement_21_delta,0.005555388517677784
C,XGBoost,sensor_measurement_20_rmean,0.0030593702103942633
C,XGBoost,sensor_measurement_20_rstd,0.0007418269524350762
C,XGBoost,sensor_measurement_20_delta,0.008755835704505444
C,XGBoost,sensor_measurement_2_rmean,0.04746066778898239
C,XGBoost,sensor_measurement_2_rstd,0.0005644139600917697
C,XGBoost,sensor_measurement_2_delta,0.0019818623550236225
C,XGBoost,sensor_measurement_17_rmean,0.04264398664236069
C,XGBoost,sensor_measurement_17_rstd,0.0005705126677639782
C,XGBoost,sensor_measurement_17_delta,0.004528042860329151
C,XGBoost,sensor_measurement_3_rmean,0.022704366594552994
C,XGBoost,sensor_measurement_3_rstd,0.0005517948302440345
C,XGBoost,sensor_measurement_3_delta,0.0013030002592131495
C,XGBoost,sensor_measurement_8_rmean,0.0016830668319016695
C,XGBoost,sensor_measurement_8_rstd,0.0007017978932708502
C,XGBoost,sensor_measurement_8_delta,0.010919885709881783
C,XGBoost,sensor_measurement_13_rmean,0.002608103211969137
C,XGBoost,sensor_measurement_13_rstd,0.0005055246874690056
C,XGBoost,sensor_measurement_13_delta,0.010060044005513191
C,XGBoost,sensor_measurement_9_rmean,0.008147353306412697
C,XGBoost,sensor_measurement_9_rstd,0.0008045252761803567
C,XGBoost,sensor_measurement_9_delta,0.025197042152285576
C,XGBoost,sensor_measurement_14_rmean,0.0042519052512943745
C,XGBoost,sensor_measurement_14_rstd,0.000528386328369379
C,XGBoost,sensor_measurement_14_delta,0.006543755065649748
C,XGBoost,cycle_index,0.017717091366648674
